Probe Set ID	Gene Symbol
1416088_a_at	LOC100046223 /// Rps15
1416089_at	Rps15
1416090_at	LOC100044400 /// Pdhb
1416091_at	Mtap4
1416092_a_at	Mtap4
1416093_a_at	Mrpl20
1416094_at	Adam9
1416095_x_at	Gm6563 /// Sarnp
1416096_at	AI413782
1416097_at	Lrrc4
1416098_at	Syngr3
1416099_at	Rpl27
1416100_at	Eif3d
1416101_a_at	Hist1h1c
1416102_at	Ywhaz
1416103_at	Ywhaz
1416104_at	Mpdu1
1416105_at	Nnt
1416106_at	Kti12
1416107_at	Nsg2
1416108_a_at	Tmed3
1416109_at	Fuca1
1416110_at	Slc35a4
1416111_at	Cd83
1416112_at	Cox8a
1416113_at	Fkbp8
1416114_at	Sparcl1
1416115_at	Orc3l
1416116_at	Orc3l
1416117_at	Orc3l
1416118_at	Trim59
1416119_at	Txn1
1416120_at	Rrm2
1416121_at	Lox
1416122_at	Ccnd2
1416123_at	Ccnd2
1416124_at	Ccnd2
1416125_at	Fkbp5
1416126_at	Polr1b
1416127_a_at	Dnpep
1416128_at	Gm3756 /// Gm5620 /// Gm7172 /// LOC100044416 /// LOC100045728 /// Tuba1a /// Tuba1b /// Tuba1c
1416129_at	Errfi1
1416130_at	Prnp
1416131_s_at	Efr3a
1416132_at	Efr3a
1416133_at	Efr3a
1416134_at	Aplp1
1416135_at	Apex1
1416136_at	Mmp2
1416137_at	Anxa7
1416138_at	Anxa7
1416139_at	Reg2
1416140_a_at	Dhx30
1416141_a_at	Gm13654 /// Rps6
1416142_at	Rps6
1416143_at	Atp5j
1416144_a_at	Dhx15
1416145_at	Dhx15
1416146_at	Hspa4
1416147_at	Hspa4
1416148_at	Laptm4b
1416149_at	Olig1
1416150_a_at	Sfrs3
1416151_at	Sfrs3
1416152_a_at	Sfrs3
1416153_at	Srp54a /// Srp54b /// Srp54c
1416154_at	Srp54a /// Srp54b
1416155_at	Hmgb3
1416156_at	Vcl
1416157_at	Vcl
1416158_at	Nr2f2
1416159_at	Nr2f2
1416160_at	Nr2f2
1416161_at	Rad21
1416162_at	Rad21
1416163_at	Cops4
1416164_at	Fbln5
1416165_at	Rab31
1416166_a_at	Prdx4
1416167_at	Prdx4
1416168_at	Serpinf1
1416169_at	Tpbpb
1416170_at	Trap1
1416171_at	2310037I24Rik
1416172_at	Pes1
1416173_at	Pes1
1416174_at	Rbbp9
1416175_a_at	Vdac3
1416176_at	Hmgb1
1416177_at	Rbmxrt
1416178_a_at	Plekhb1
1416179_a_at	Rdx
1416180_a_at	Rdx
1416181_at	Mesdc2
1416182_at	Apba3
1416183_a_at	Ldhb
1416184_s_at	Hmga1
1416185_a_at	Adh5
1416186_at	Pnrc2
1416187_s_at	Pnrc2
1416188_at	Gm2a
1416189_a_at	Sec61a1
1416190_a_at	Sec61a1
1416191_at	Sec61a1
1416192_at	Napa
1416193_at	Car1
1416194_at	Cyp4b1
1416195_at	Inpp5k
1416196_at	Rpsa
1416197_at	Snrpc
1416198_at	Th1l
1416199_at	Kifc3
1416200_at	Il33
1416201_at	Crk
1416202_at	Phb2
1416203_at	Aqp1
1416204_at	Gpd1
1416205_at	Glb1
1416206_at	Sipa1
1416207_at	Taz
1416208_at	Usp14
1416209_at	Glud1
1416210_at	Imp3
1416211_a_at	Ptn
1416212_at	Magoh
1416213_x_at	Surf4
1416214_at	Mcm4
1416215_at	Gosr1
1416216_at	Reps1
1416217_a_at	Gm4149 /// Rpl37a
1416218_x_at	Gm11285 /// Gm4613 /// LOC640991 /// Rpl37a
1416219_at	Rpl19
1416220_at	Spcs1
1416221_at	Fstl1
1416222_at	Nsdhl
1416223_at	Sh3bp5l
1416224_at	Zbtb17
1416225_at	Adh1
1416226_at	Arpc1b
1416227_at	Arpc1b /// Gm5637
1416228_at	Pin1
1416229_at	Rfk
1416230_at	Rfk
1416231_at	Vac14
1416232_at	Olig2
1416233_at	Eif3i
1416234_at	Lrrc59
1416235_at	Lrrc59
1416236_a_at	Mpzl2
1416237_at	Mpzl2
1416238_at	Tie1
1416239_at	Ass1
1416240_at	Psmb7
1416241_at	Sec13
1416242_at	Klhl13
1416243_a_at	Gm10269 /// Gm4342 /// Rpl35
1416244_a_at	Cnbp
1416245_at	Aurkaip1
1416246_a_at	Coro1a
1416247_at	Dctn3
1416248_at	Nadk
1416249_at	Nadk
1416250_at	Btg2
1416251_at	Mcm6
1416252_at	Stk38
1416253_at	Cdkn2d /// Gm4694
1416254_a_at	Vps16
1416255_at	Gja4
1416256_a_at	Tubb5
1416257_at	Capn2
1416258_at	Tk1
1416259_at	Pex12
1416260_a_at	Snx1
1416261_at	Tmem19
1416262_at	Tmem19
1416263_at	Abcb9
1416264_at	Abcb9
1416265_at	Capn10
1416266_at	Pdyn
1416267_at	Scoc
1416268_at	Ets2
1416269_at	Atp5j2
1416270_at	Polr2g
1416271_at	Perp
1416272_at	Mapksp1
1416273_at	Tnfaip2
1416274_at	Ctns
1416275_at	Slc26a6
1416276_a_at	Rps4x
1416277_a_at	Rplp1
1416278_a_at	Atp5o /// LOC100047429
1416279_at	Ap1b1
1416280_at	Uba2
1416281_at	Wdr45l
1416282_at	Psmc3
1416283_at	Gart
1416284_at	Mrpl28
1416285_at	Ndufc1
1416286_at	Rgs4
1416287_at	Rgs4
1416288_at	Dnaja1
1416289_at	Plod1
1416290_a_at	Psmc4
1416291_at	Psmc4
1416292_at	Prdx3
1416293_at	Nfib
1416294_at	Scamp3
1416295_a_at	Il2rg
1416296_at	Il2rg
1416297_s_at	Reg3b
1416298_at	Mmp9
1416299_at	Shcbp1
1416300_a_at	Slc25a3
1416301_a_at	Ebf1
1416302_at	Ebf1
1416303_at	Litaf
1416304_at	Litaf
1416305_at	Sh3bp4
1416306_at	Clca3
1416307_at	Ap1m1
1416308_at	Ugdh
1416309_at	Nusap1
1416310_at	Nusap1
1416311_s_at	Gm5366 /// Tuba3a /// Tuba3b
1416312_at	Rars
1416313_at	Mllt11
1416314_at	Mllt11
1416315_at	Abhd4
1416316_at	Slc27a2
1416317_a_at	Stambp
1416318_at	Serpinb1a
1416319_at	Adk
1416320_at	Sec22a
1416321_s_at	Prelp
1416322_at	Prelp
1416323_at	Kctd20
1416324_s_at	Kctd20
1416325_at	Crisp1
1416326_at	Crip1
1416327_at	Ufc1
1416328_a_at	Atp6v0e
1416329_at	Cyfip1
1416330_at	Cd81
1416331_a_at	Nfe2l1
1416332_at	Cirbp
1416333_at	Dok2
1416334_at	Wwox
1416335_at	Mif
1416336_s_at	Snrpd1
1416337_at	Uqcrb
1416338_at	Sh3gl1
1416339_a_at	Prkcsh
1416340_a_at	Man2b1
1416341_at	Polr2c
1416342_at	Tnc
1416343_a_at	Lamp2
1416344_at	Lamp2
1416345_at	Timm8a1
1416346_at	Timm8a1
1416347_at	Men1
1416348_at	Men1
1416349_at	Mrpl34
1416350_at	Klf16
1416351_at	Map2k1
1416352_s_at	Tecr
1416353_at	Nr1h2
1416354_at	Rbmx
1416355_at	Rbmx
1416356_at	Gmpr2
