ID	Cy5	Cy3	Ratio	Sum	LogRat
YLR140W	55	116	0.27	79	-1.87
YLR144C	285	587	0.46	780	-1.11
YLR148W	4763	6376	0.75	11047	-0.42
YLR162W	48	92	0.26	48	-1.93
YLR166C	1271	2920	0.43	4099	-1.22
YLR170C	5314	10653	0.5	15875	-1.01
YLR465C	632	722	0.89	1263	-0.17
YML002W	521	1025	0.5	1455	-1.01
YML006C	767	1092	0.7	1767	-0.51
YML019W	2372	3820	0.62	6099	-0.69
YML023C	531	542	1.01	981	0.01
YML027W	641	816	0.79	1365	-0.34
YML043C	699	441	1.71	1048	0.77
YML047C	56	105	0.35	70	-1.53
YML050W	571	1084	0.52	1563	-0.95
YML064C	1147	1418	0.81	2473	-0.3
YML068W	791	1420	0.55	2119	-0.86
YML072C	2770	4391	0.63	7069	-0.67
YMR224C	339	548	0.61	795	-0.71
YMR228W	998	1563	0.64	2469	-0.65
YMR232W	173	222	0.81	302	-0.31
YMR247C	569	611	0.96	1088	-0.06
YMR252C	1654	3906	0.42	5468	-1.25
YMR256C	2522	6156	0.41	8586	-1.3
YMR272C	2955	6368	0.46	9230	-1.11
YMR276W	1217	2022	0.6	3146	-0.74
YMR280C	217	579	0.34	703	-1.56
YMR294W-A	93	199	0.38	200	-1.4
YMR298W	3369	6799	0.49	10076	-1.02
YMR302C	1259	2769	0.45	3936	-1.15
YNL275W	1023	1471	0.7	2402	-0.52
YNL279W	4508	9768	0.46	14184	-1.12
YNL283C	2686	3235	0.83	5827	-0.26
YNL297C	2976	5275	0.56	8159	-0.83
YNL301C	38605	16709	2.32	55221	1.21
YNL305C	1911	3985	0.48	5804	-1.07
YNL321W	733	1530	0.47	2170	-1.09
YNL325C	1387	1953	0.71	3249	-0.49
YNL329C	955	1559	0.61	2421	-0.72
YNR006W	966	1915	0.5	2790	-1
YNR010W	803	1343	0.59	2053	-0.75
YNR014W	390	747	0.51	1044	-0.98
YOR069W	1250	2065	0.6	3223	-0.73
YOR073W	759	998	0.76	1666	-0.39
YOR077W	402	634	0.63	944	-0.67
YOR093C	460	668	0.69	1037	-0.54
YOR097C	1113	2107	0.52	3128	-0.93
YOR101W	1589	1180	1.38	2677	0.46
YOR117W	4461	8351	0.53	12719	-0.91
YOR121C	47	107	0.17	62	-2.56
YOR125C	1772	4490	0.39	6170	-1.36
YOR141C	1152	1811	0.63	2870	-0.66
YOR143C	1653	2126	0.78	3686	-0.36
YOR147W	1176	1712	0.69	2796	-0.54
YPL051W	1579	2308	0.68	3794	-0.55
YPL055C	425	667	0.63	1000	-0.67
YPL059W	2929	5950	0.49	8787	-1.03
YPL074W	1090	2150	0.5	3147	-1
YPL078C	5919	12696	0.47	18522	-1.1
YPL082C	1027	936	1.12	1871	0.17
YPL098C	1086	1990	0.54	2984	-0.89
YPL102C	57	98	0.42	64	-1.24
YPL106C	10945	17590	0.62	28444	-0.69
YPL122C	861	1241	0.69	2011	-0.53
YPL126W	2440	1283	1.95	3631	0.97
YPL130W	59	118	0.33	85	-1.61
YPR143W	3817	3145	1.22	6871	0.29
YPR147C	875	1849	0.47	2632	-1.1
YPR151C	131	546	0.19	585	-2.38
YPR163C	8960	5613	1.61	14481	0.68
YPR167C	1009	1895	0.53	2813	-0.92
YPR171W	692	1078	0.64	1678	-0.65
YPR187W	6113	5321	1.15	11342	0.21
YPR191W	1502	3394	0.44	4804	-1.19
YPR195C	180	574	0.27	662	-1.87
EMPTY	48	63	1	20	0
EMPTY	60	104	0.43	73	-1.21
EMPTY	46	59	1.33	14	0.42
EMPTY	47	59	1.5	15	0.58
EMPTY	44	59	1	12	0
EMPTY	45	58	1.4	12	0.49
EMPTY	42	59	0.67	10	-0.58
EMPTY	43	58	1.5	10	0.58
EMPTY	41	60	0.8	9	-0.32
EMPTY	39	56	1	4	0
EMPTY	40	56	1.5	5	0.58
EMPTY	59	68	1.4	36	0.49
EMPTY	62	63	2.4	34	1.26
EMPTY	48	59	1.67	16	0.74
EMPTY	56	61	2.57	25	1.36
EMPTY	38	55	0	1	0
EMPTY	37	51	0.33	-4	-1.58
EMPTY	39	54	1	2	0
EMPTY	37	55	-0.5	1	0
EMPTY	37	55	-1	0	0
EMPTY	38	55	1	2	0
EMPTY	39	53	-1	0	0
EMPTY	39	53	-1	0	0
YCONTROL60	50	146	0.16	103	-2.67
YCONTROL19	40	110	0.08	57	-3.73
YCONTROL98	45	125	0.13	77	-2.92
YCONTROL60	49	126	0.19	81	-2.39
YCONTROL19	45	111	0.16	64	-2.61
YCONTROL98	45	108	0.17	61	-2.53
YCONTROL60	52	120	0.23	79	-2.09
YCONTROL19	41	87	0.13	36	-3
YCONTROL98	50	134	0.16	92	-2.6
YCONTROL60	45	112	0.16	66	-2.66
YCONTROL19	42	106	0.1	56	-3.35
YCONTROL98	1131	2113	0.53	3152	-0.91
YBR047W	1513	5534	0.27	6954	-1.89
YBR051W	54	124	0.25	85	-2
YBR055C	919	1418	0.65	2245	-0.63
YBR071W	1166	2370	0.49	3444	-1.04
YBR075W	1538	2278	0.68	3722	-0.56
YBR079C	2670	2130	1.27	4707	0.35
YBR093C	1727	1239	1.43	2872	0.52
YBR097W	524	1232	0.42	1662	-1.27
YBR101C	2710	6379	0.42	8996	-1.24
YBR117C	89	239	0.29	235	-1.78
YBR121C	11204	12752	0.88	23863	-0.19
YBR125C	1091	1940	0.56	2937	-0.84
YCR057C	1433	415	3.89	1755	1.96
YCR062W	473	1211	0.38	1591	-1.41
YCR066W	458	755	0.6	1120	-0.73
YCR085W	167	269	0.61	343	-0.71
YCR088W	754	1819	0.41	2480	-1.3
YCR092C	491	735	0.67	1133	-0.58
YCR107W	444	828	0.53	1178	-0.93
YDL004W	1213	3710	0.32	4829	-1.64
YDL008W	1149	3320	0.34	4375	-1.55
YDL024C	253	794	0.29	953	-1.76
YDL028C	353	769	0.45	1028	-1.17
YDL032W	97	221	0.37	223	-1.44
YDR081C	999	1588	0.63	2492	-0.67
YDR085C	321	1227	0.24	1455	-2.04
YDR089W	1347	2947	0.45	4200	-1.14
YDR103W	767	1393	0.55	2066	-0.87
YDR107C	488	1100	0.43	1495	-1.21
YDR111C	491	776	0.63	1174	-0.67
YDR127W	4565	5735	0.8	10207	-0.33
YDR131C	477	1083	0.43	1467	-1.22
YDR135C	2414	4038	0.6	6359	-0.74
YDR151C	1048	2691	0.38	3645	-1.38
YDR155C	37314	53026	0.7	90244	-0.51
YDR159W	1130	2005	0.56	3039	-0.84
YDR447C	43406	24510	1.77	67821	0.83
YDR451C	1187	2496	0.47	3589	-1.08
YDR455C	170	423	0.36	498	-1.46
YDR471W	38548	18013	2.14	56466	1.1
YDR475C	355	964	0.35	1224	-1.51
YDR479C	882	1865	0.47	2653	-1.1
YDR495C	891	1891	0.47	2688	-1.1
YDR499W	720	1448	0.49	2073	-1.03
YDR503C	719	1708	0.41	2332	-1.27
YDR519W	4080	8999	0.45	12985	-1.15
YDR523C	125	244	0.47	275	-1.09
YDR526C	88	203	0.35	198	-1.53
YER188W	583	985	0.59	1475	-0.77
YFL002C	1171	1012	1.19	2089	0.25
YFL004W	2353	4007	0.59	6265	-0.77
YFL017W-A	2349	4479	0.52	6733	-0.94
YFL021W	654	2316	0.27	2876	-1.87
YFL025C	818	1374	0.59	2098	-0.75
YFL040W	79	204	0.29	189	-1.76
YFL044C	1408	4869	0.29	6183	-1.81
YFL048C	3767	7668	0.49	11342	-1.03
YFL064C	3671	6169	0.59	9747	-0.75
YFL068W	188	420	0.42	514	-1.27
YFR004W	4910	10556	0.46	15371	-1.11
YGL247W	1302	1801	0.73	3007	-0.46
YGL251C	183	484	0.34	573	-1.55
YGL255W	13794	6930	2	20630	1
YGR008C	5363	27098	0.2	32366	-2.34
YGR012W	918	1761	0.52	2584	-0.95
YGR016W	614	1439	0.42	1958	-1.26
YGR030C	1394	1888	0.74	3186	-0.43
YGR034W	44795	17408	2.58	62108	1.37
YGR038C-A	34213	51871	0.66	85989	-0.6
YGR052W	452	979	0.45	1336	-1.15
YGR056W	751	1251	0.6	1907	-0.74
YGR060W	18555	35543	0.52	54003	-0.94
YHR007C	8317	11896	0.7	20118	-0.52
YHR011W	444	937	0.46	1286	-1.11
YHR015W	153	327	0.43	385	-1.21
YHR030C	2104	5391	0.39	7401	-1.37
YHR034C	532	1157	0.45	1595	-1.15
YHR038W	4569	7018	0.65	11494	-0.62
YHR052W	3971	2066	1.96	5944	0.97
YHR056C	1698	2698	0.63	4301	-0.67
YHR060W	3255	6155	0.53	9315	-0.92
YHR075C	698	1891	0.36	2494	-1.47
YHR079C	890	1577	0.56	2372	-0.84
YHR082C	1092	2688	0.4	3686	-1.32
YIL159W	546	1060	0.51	1512	-0.97
YIL163C	138	279	0.46	323	-1.12
YIL167W	475	2272	0.2	2653	-2.33
YIR006C	627	1285	0.48	1819	-1.06
YIR010W	1021	1905	0.53	2832	-0.91
YIR014W	173	565	0.27	644	-1.89
YIR029W	398	6871	0.05	7174	-4.24
YIR033W	1325	3269	0.4	4500	-1.32
YIR037W	4703	13568	0.35	18177	-1.53
YJL009W	98	296	0.26	300	-1.97
YJL013C	1125	2796	0.4	3827	-1.33
YJL017W	917	2182	0.41	3004	-1.27
YJR097W	828	843	1.01	1576	0.01
YJR101W	2178	3324	0.66	5407	-0.61
YJR105W	8421	15560	0.54	23886	-0.89
YJR121W	1773	4695	0.37	6374	-1.42
YJR125C	1748	5061	0.34	6715	-1.55
YJR129C	372	888	0.4	1166	-1.3
YJR144W	2348	4116	0.57	6370	-0.81
YJR148W	7078	56130	0.13	63114	-2.99
YJR152W	484	27711	0.02	28100	-5.95
YKL006C-A	1448	3188	0.45	4540	-1.15
YKL009W	4961	2171	2.33	7037	1.22
YKL013C	5693	15617	0.36	21215	-1.46
YKR088C	2042	5091	0.4	7039	-1.33
YKR092C	5179	5814	0.89	10899	-0.16
YKR096W	710	2162	0.32	2778	-1.65
YLL006W	828	2312	0.35	3046	-1.51
YLL010C	506	814	0.62	1225	-0.69
YLL014W	3264	6805	0.48	9974	-1.06
YLL029W	1225	2373	0.51	3504	-0.96
YLL033W	722	1230	0.58	1858	-0.78
YLL037W	150	386	0.35	441	-1.52
YLL053C	1891	3236	0.58	5032	-0.78
YLL057C	198	610	0.29	713	-1.77
YLL061W	381	339	1.22	625	0.29
YLR290C	2297	6165	0.37	8367	-1.43
YLR294C	5102	10566	0.48	15574	-1.05
YLR298C	1928	4373	0.44	6207	-1.19
YLR313C	630	1143	0.55	1679	-0.87
YLR317W	467	1079	0.42	1452	-1.25
YLR321C	1068	1853	0.57	2827	-0.8
YLR337C	277	570	0.47	753	-1.1
YLR341W	361	336	1.16	603	0.22
YLR345W	1018	3983	0.25	4907	-2
YLR361C	542	1313	0.4	1761	-1.31
YLR365W	86	188	0.37	179	-1.45
YLR369W	1025	2057	0.49	2987	-1.02
YMR056C	3674	11601	0.32	15180	-1.67
YMR060C	1171	2428	0.48	3504	-1.06
YMR064W	1194	2845	0.42	3944	-1.27
YMR079W	3833	6435	0.6	10172	-0.75
YMR083W	7782	26867	0.29	34553	-1.79
YMR086W	690	1994	0.34	2589	-1.57
YMR102C	2326	3836	0.61	6067	-0.72
YMR106C	539	1308	0.4	1753	-1.32
YMR110C	1580	5144	0.3	6629	-1.72
YMR125W	3006	4870	0.62	7782	-0.7
YMR129W	1566	2637	0.59	4109	-0.75
YMR133W	73	294	0.15	272	-2.76
YNL096C	8881	5557	1.61	14343	0.69
YNL100W	2289	5379	0.42	7572	-1.24
YNL104C	5065	10857	0.47	15826	-1.1
YNL120C	59	128	0.3	92	-1.76
YNL124W	514	548	0.98	967	-0.03
YNL128W	518	1310	0.39	1733	-1.38
YNL144C	927	2123	0.43	2956	-1.21
YNL148C	476	1359	0.34	1739	-1.57
YNL152W	1186	3220	0.36	4310	-1.46
YNL168C	1426	5671	0.25	7001	-2.01
YNL172W	323	673	0.47	901	-1.1
YNL176C	1083	2126	0.51	3114	-0.98
YOL059W	4767	7232	0.66	11904	-0.6
YOL063C	571	1190	0.47	1667	-1.09
YOL067C	975	2370	0.41	3251	-1.3
YOL083W	1123	4303	0.26	5332	-1.97
YOL087C	1152	2565	0.44	3623	-1.17
YOL091W	305	521	0.58	731	-0.79
YOL105C	1034	1672	0.62	2610	-0.7
YOL109W	35270	47911	0.74	83084	-0.44
YOL113W	475	1387	0.33	1766	-1.6
YOL129W	7885	25743	0.31	33533	-1.71
YOL133W	2528	8856	0.28	11290	-1.82
YOL137W	463	804	0.57	1171	-0.81
YOR270C	7405	14900	0.5	22209	-1.01
YOR274W	692	1752	0.39	2348	-1.37
YOR278W	674	1640	0.4	2219	-1.31
YOR294W	2482	1602	1.58	3988	0.66
YOR298C-A	9852	26788	0.37	36545	-1.45
YOR301W	591	1130	0.52	1626	-0.95
YOR316C	2660	5452	0.49	8017	-1.04
YOR320C	1640	3857	0.42	5402	-1.24
YOR324C	935	2681	0.34	3521	-1.55
YOR340C	2022	788	2.72	2714	1.44
YOR343C-A	6135	14065	0.44	20104	-1.2
YOR346W	772	1090	0.71	1767	-0.49
YPL253C	595	1319	0.44	1818	-1.17
YPL257W	425	1239	0.33	1569	-1.6
YPL259C	1113	2320	0.48	3339	-1.07
YPL275W	76	177	0.34	159	-1.57
YPL279C	746	1195	0.62	1846	-0.68
YPL283C	5990	10996	0.54	16890	-0.88
YPR015C	261	672	0.37	839	-1.45
YPR019W	992	2199	0.45	3096	-1.16
YPR023C	1172	2944	0.39	4021	-1.35
YPR039W	68	149	0.34	122	-1.55
YPR043W	42919	20914	2.06	63737	1.04
YPR047W	786	1909	0.4	2600	-1.31
EMPTY	47	66	1.13	17	0.17
EMPTY	61	67	2.56	32	1.35
EMPTY	56	66	2	27	1
EMPTY	48	65	1.25	18	0.32
EMPTY	41	68	0.56	14	-0.85
EMPTY	43	68	0.78	16	-0.36
EMPTY	42	65	0.71	12	-0.49
EMPTY	43	67	0.88	15	-0.19
EMPTY	41	63	1	10	0
EMPTY	42	65	0.86	13	-0.22
EMPTY	43	66	0.88	15	-0.19
EMPTY	42	66	0.75	14	-0.42
EMPTY	43	66	0.75	14	-0.42
EMPTY	42	67	0.56	14	-0.85
EMPTY	43	68	0.6	16	-0.74
EMPTY	44	65	0.88	15	-0.19
EMPTY	46	69	0.82	20	-0.29
EMPTY	44	68	0.64	18	-0.65
EMPTY	45	66	0.89	17	-0.17
EMPTY	46	67	0.9	19	-0.15
EMPTY	40	67	0.5	12	-1
EMPTY	40	67	0.5	12	-1
EMPTY	41	65	0.83	11	-0.26
EMPTY	42	68	0.67	15	-0.58
EMPTY	35	57	0.5	-3	-1
EMPTY	36	59	0	1	0
EMPTY	37	57	0	-2	0
EMPTY	37	59	0	1	0
EMPTY	36	59	-1	0	0
EMPTY	37	58	0	1	0
EMPTY	39	58	1	4	0
YCONTROL60	209	384	0.52	501	-0.94
YCONTROL19	48	122	0.15	77	-2.74
YCONTROL98	49	113	0.19	69	-2.4
YCONTROL60	54	122	0.24	83	-2.07
YCONTROL19	48	116	0.16	71	-2.61
YCONTROL98	74	172	0.31	153	-1.7
YCONTROL60	49	118	0.17	75	-2.54
YCONTROL19	61	108	0.43	77	-1.23
YCONTROL98	49	116	0.18	73	-2.49
YCONTROL60	47	114	0.15	69	-2.74
YCONTROL19	50	130	0.16	88	-2.66
YCONTROL98	61	123	0.34	91	-1.56
Q0110	53	137	0.17	96	-2.55
Q0140	44	85	0.17	35	-2.58
Q0160	43	94	0.1	43	-3.29
YAL012W	1401	1208	1.18	2514	0.24
YAL016W	2280	4674	0.49	6860	-1.04
YAL020C	319	502	0.63	727	-0.67
YAL035C-A	57	117	0.31	80	-1.68
YAL038W	43093	30258	1.43	73256	0.51
YAL042W	2867	4402	0.65	7174	-0.62
YAL059W	2801	1279	2.26	3987	1.17
YAL063C	1005	1874	0.53	2785	-0.91
YAL065C	104	194	0.48	204	-1.06
YBR141C	495	372	1.44	772	0.53
YBR145W	3554	8130	0.44	11589	-1.2
YBR149W	5187	17594	0.29	22686	-1.77
YBR164C	4271	6897	0.62	11073	-0.69
YBR168W	1102	2190	0.5	3198	-1.01
YBR172C	1428	862	1.72	2196	0.78
YBR188C	1445	2333	0.62	3683	-0.7
YBR192W	2471	2471	1.01	4846	0.01
YBR196C	25462	31900	0.8	57266	-0.32
YBR212W	2138	4782	0.44	6824	-1.17
YBR216C	763	1670	0.45	2338	-1.16
YBR220C	1417	1780	0.8	3102	-0.32
YDL047W	1782	2268	0.79	3955	-0.34
YDL051W	5763	3796	1.53	9466	0.61
YDL055C	28876	26944	1.07	55726	0.1
YDL071C	181	301	0.58	386	-0.78
YDL075W	45296	18309	2.48	63508	1.31
YDL079C	564	1053	0.53	1521	-0.92
YDL095W	3766	5056	0.75	8727	-0.42
YDL099W	1909	3001	0.63	4815	-0.66
YDL103C	1235	2728	0.45	3869	-1.16
YDL119C	2111	3298	0.64	5314	-0.65
YDL123W	444	879	0.49	1228	-1.02
YDL127W	714	949	0.75	1567	-0.41
YDR174W	4982	6269	0.8	11157	-0.33
YDR178W	2750	9836	0.28	12491	-1.85
YDR181C	920	1868	0.49	2694	-1.04
YDR197W	928	1890	0.49	2724	-1.04
YDR201W	2365	4310	0.55	6581	-0.87
YDR205W	910	1648	0.55	2464	-0.87
YDR217C	765	1260	0.6	1931	-0.73
YDR221W	1358	2866	0.47	4129	-1.09
YDR225W	42356	43679	0.97	85939	-0.04
YDR241W	153	262	0.56	319	-0.85
YDR245W	3433	4838	0.71	8176	-0.49
YDR249C	640	935	0.68	1479	-0.55
YDR542W	820	2106	0.38	2831	-1.39
YEL001C	6451	9865	0.65	16220	-0.61
YEL005C	837	2025	0.4	2765	-1.3
YEL020C	792	1528	0.51	2223	-0.97
YEL023C	502	891	0.55	1298	-0.85
YEL027W	27668	42809	0.65	70381	-0.63
YEL043W	958	1424	0.67	2287	-0.57
YEL047C	2912	5712	0.51	8529	-0.98
YEL051W	9661	22311	0.43	31878	-1.21
YEL066W	2463	12421	0.2	14789	-2.35
YEL070W	472	953	0.48	1331	-1.05
YEL074W	2183	3075	0.71	5164	-0.49
YFR020W	606	1437	0.41	1948	-1.28
YFR024C	4773	10320	0.46	14999	-1.12
YFR027W	453	794	0.56	1152	-0.83
YFR041C	1953	3238	0.6	5096	-0.73
YFR045W	792	1851	0.42	2548	-1.25
YFR049W	2440	5994	0.4	8337	-1.31
YGL008C	46556	36704	1.27	83163	0.34
YGL012W	17685	27499	0.64	45086	-0.64
YGL016W	1060	1160	0.93	2126	-0.11
YGL032C	2906	4600	0.63	7411	-0.66
YGL036W	1131	2520	0.44	3556	-1.17
YGL040C	3572	6331	0.56	9809	-0.83
YGR076C	2115	4970	0.42	6991	-1.24
YGR080W	1680	3609	0.46	5195	-1.11
YGR084C	2572	4150	0.62	6628	-0.69
YGR100W	1704	3821	0.44	5431	-1.18
YGR104C	959	1485	0.64	2350	-0.63
YGR108W	2499	4522	0.55	6927	-0.86
YGR122C-A	283	641	0.42	830	-1.26
YGR125W	933	2816	0.32	3654	-1.63
YGR129W	1257	1748	0.72	2910	-0.47
YGR145W	1581	735	2.27	2221	1.18
YGR149W	1338	4506	0.29	5749	-1.78
YGR153W	371	1034	0.34	1309	-1.56
YHR098C	1142	2046	0.55	3094	-0.85
YHR102W	519	1074	0.47	1497	-1.08
YHR106W	1390	3600	0.38	4894	-1.39
YHR122W	2443	4500	0.54	6848	-0.89
YHR126C	52	112	0.25	71	-2.03
YHR130C	931	1417	0.66	2255	-0.61
YHR143W-A	6115	5803	1.06	11824	0.08
YHR147C	3266	6715	0.48	9887	-1.04
YHR151C	1296	2208	0.58	3410	-0.77
YHR167W	1387	2088	0.66	3381	-0.59
YHR171W	722	2551	0.27	3179	-1.87
YHR175W	3427	9371	0.36	12703	-1.46
YJL033W	47	69	0.69	22	-0.53
YJL037W	388	729	0.52	1022	-0.95
YJL042W	1181	2637	0.44	3723	-1.18
YJL058C	547	917	0.59	1369	-0.76
YJL062W	857	1609	0.53	2372	-0.92
YJL066C	409	1478	0.26	1791	-1.94
YJL082W	1548	3496	0.44	4948	-1.19
YJL086C	49	77	0.55	31	-0.86
YJL090C	496	719	0.69	1121	-0.53
YJL106W	276	678	0.38	861	-1.39
YJL110C	42	66	0.4	14	-1.32
YJL114W	342	997	0.32	1244	-1.63
YKL029C	1526	1554	0.99	2986	-0.01
YKL033W	702	910	0.78	1518	-0.36
YKL036C	80	179	0.34	165	-1.55
YKL052C	1256	1967	0.64	3129	-0.65
YKL055C	405	477	0.87	788	-0.2
YKL059C	792	1437	0.55	2134	-0.87
YKL075C	1202	1831	0.66	2937	-0.61
YKL079W	847	1523	0.55	2274	-0.86
YKL083W	76	160	0.37	142	-1.45
YKL098W	789	1506	0.52	2200	-0.95
YKL102C	60	144	0.25	109	-1.98
YKL106W	1399	2162	0.65	3466	-0.63
YLR010C	1099	1614	0.68	2619	-0.55
YLR014C	492	526	0.97	924	-0.05
YLR018C	1825	1832	1.01	3563	0.01
YLR034C	6829	12577	0.54	19312	-0.88
YLR037C	1011	2896	0.34	3812	-1.54
YLR041W	289	584	0.48	778	-1.07
YLR057W	2247	1952	1.17	4104	0.22
YLR061W	31028	11758	2.65	42690	1.41
YLR065C	5966	7680	0.78	13549	-0.36
YLR081W	229	373	0.6	506	-0.73
YLR085C	995	2062	0.48	2961	-1.07
YLR089C	2350	16106	0.14	18360	-2.8
YLR385C	1707	5067	0.33	6680	-1.58
YLR389C	1656	3338	0.49	4899	-1.02
YLR393W	318	638	0.48	861	-1.05
YLR409C	1919	675	3.04	2499	1.61
YLR411W	271	564	0.46	741	-1.12
YLR415C	86	183	0.39	175	-1.36
YLR431C	698	1299	0.53	1902	-0.91
YLR435W	2243	1730	1.32	3878	0.4
YLR438W	925	2008	0.45	2838	-1.14
YLR454W	1199	2691	0.44	3795	-1.18
YLR458W	116	252	0.4	273	-1.32
YLR462W	4455	7178	0.62	11536	-0.69
YMR148W	1422	3984	0.35	5309	-1.51
YMR152W	1406	4212	0.33	5522	-1.6
YMR155W	690	2148	0.31	2741	-1.68
YMR169C	408	1234	0.31	1546	-1.67
YMR172W	687	1294	0.52	1886	-0.93
YMR175W	414	1099	0.36	1418	-1.47
YMR191W	2334	5761	0.4	8000	-1.31
YMR194C-A	3440	5386	0.64	8731	-0.65
YMR197C	2025	5749	0.35	7681	-1.52
YMR213W	340	554	0.61	800	-0.72
YMR217W	7757	3325	2.36	10987	1.24
YMR221C	2721	8303	0.33	10928	-1.62
YNL192W	2274	4917	0.46	7095	-1.12
YNL196C	83	183	0.35	169	-1.51
YNL200C	3016	9395	0.32	12315	-1.65
YNL216W	1864	2391	0.78	4159	-0.35
YNL220W	9805	8421	1.17	18129	0.22
YNL224C	1260	2148	0.58	3311	-0.78
YNL240C	403	717	0.55	1024	-0.86
YNL244C	12728	13057	0.98	25689	-0.03
YNL248C	2498	718	3.72	3121	1.9
YNL264C	878	2112	0.41	2895	-1.29
YNL268W	2625	4507	0.58	7037	-0.78
YNL272C	1736	3358	0.51	5000	-0.96
YOL153C	452	2030	0.21	2388	-2.25
YOL157C	1002	2642	0.37	3550	-1.42
YOL161C	1116	2582	0.43	3603	-1.23
YOR010C	14298	20458	0.7	34661	-0.52
YOR014W	2811	6798	0.41	9513	-1.28
YOR018W	648	1643	0.38	2196	-1.38
YOR034C	2107	3547	0.59	5560	-0.75
YOR038C	1036	1701	0.61	2642	-0.72
YOR042W	1143	2665	0.42	3712	-1.24
YOR058C	1131	2178	0.51	3213	-0.96
YOR062C	1080	2830	0.38	3814	-1.41
YOR066W	483	785	0.61	1172	-0.71
YOR362C	5224	12765	0.41	17894	-1.29
YOR366W	241	411	0.57	557	-0.8
YOR370C	2720	3130	0.87	5755	-0.2
YOR386W	521	2038	0.24	2464	-2.04
YOR390W	1235	1996	0.62	3136	-0.7
YOR394W	242	601	0.37	749	-1.42
YPL016W	494	795	0.62	1194	-0.69
YPL020C	988	2081	0.47	2974	-1.09
YPL024W	1221	1954	0.62	3079	-0.68
YPL040C	515	964	0.52	1384	-0.93
YPL044C	108	215	0.44	229	-1.18
YPL048W	3623	8096	0.45	11624	-1.17
YPR063C	3515	5872	0.6	9290	-0.74
YPR067W	1818	4718	0.38	6440	-1.39
YPR071W	883	1628	0.54	2415	-0.9
YPR087W	195	378	0.49	477	-1.04
YPR091C	1430	3107	0.46	4442	-1.13
YPR095C	945	1821	0.51	2671	-0.96
YPR111W	770	1692	0.45	2367	-1.16
YPR115W	1067	3322	0.32	4294	-1.67
YPR119W	1866	3803	0.49	5574	-1.04
YPR134W	2039	4546	0.45	6489	-1.17
YPR137C-B	35885	48607	0.74	84395	-0.44
YPR140W	1424	3810	0.37	5139	-1.44
YCL027C-A	200	410	0.46	515	-1.12
YDL085C-A	2855	5994	0.47	8754	-1.08
YDL240C-A	86	197	0.34	187	-1.57
YGR271C-A	2690	1736	1.58	4331	0.66
YJL062W-A	7279	18396	0.39	25579	-1.34
YKL106C-A	220	503	0.41	627	-1.3
YML101C-A	124	266	0.41	294	-1.3
YNL067W-A	117	236	0.44	257	-1.2
YOL086W-A	2892	5843	0.49	8640	-1.02
EMPTY	119	187	0.62	211	-0.68
EMPTY	42	62	0.8	9	-0.32
EMPTY	90	114	0.91	109	-0.13
EMPTY	38	55	0	-1	0
EMPTY	37	59	-0.33	2	0
EMPTY	38	56	0	-1	0
EMPTY	38	106	0	49	0
EMPTY	37	54	0.5	-3	-1
EMPTY	38	57	0	1	0
EMPTY	40	55	-2	1	0
EMPTY	39	55	0	-1	0
YIL115C	1108	1774	0.62	2787	-0.68
YLR212C	811	1227	0.66	1943	-0.6
YJR009C	49240	39743	1.24	88887	0.31
YIL115C	1364	2112	0.64	3380	-0.63
YLR212C	695	1179	0.58	1778	-0.78
YJR009C	47630	36974	1.29	84508	0.37
YIL115C	1104	1797	0.61	2804	-0.71
YLR212C	495	743	0.66	1142	-0.59
YJR009C	41994	30150	1.39	72048	0.48
YIL115C	868	1329	0.65	2101	-0.62
YLR212C	424	660	0.64	988	-0.65
YJR009C	49165	37150	1.32	86220	0.41
YBR035C	5100	10522	0.48	15528	-1.05
YBR039W	6517	14612	0.44	21033	-1.17
YBR043C	2883	4120	0.7	6908	-0.52
YBR059C	1018	2483	0.4	3407	-1.31
YBR063C	1301	2458	0.52	3663	-0.93
YBR067C	13779	24187	0.57	37870	-0.81
YBR083W	824	1169	0.71	1896	-0.5
YBR086C	4527	7924	0.57	12355	-0.81
YBR089W	75	162	0.33	142	-1.61
YBR105C	3494	3528	0.99	6926	-0.01
YBR109C	13131	28478	0.46	41512	-1.12
YBR113W	93	227	0.31	223	-1.68
YCR043C	2202	3406	0.65	5512	-0.63
YCR047C	1380	817	1.76	2101	0.82
YCR051W	1386	1804	0.77	3094	-0.38
YCR071C	2481	4840	0.51	7227	-0.97
YCR075C	948	2298	0.41	3152	-1.3
YCR081W	695	1348	0.51	1947	-0.98
YCR096C	4660	6492	0.72	11058	-0.48
YCR100C	391	1094	0.34	1391	-1.56
YCR103C	179	476	0.33	559	-1.6
YDL012C	2622	3274	0.8	5800	-0.32
YDL016C	51	78	0.5	33	-1
YDL020C	2728	5200	0.52	7833	-0.94
YDR069C	811	1746	0.46	2462	-1.13
YDR073W	2022	4310	0.47	6236	-1.1
YDR077W	33545	49664	0.68	83111	-0.57
YDR093W	970	1967	0.49	2839	-1.04
YDR097C	1352	2652	0.51	3909	-0.98
YDR099W	7397	12073	0.61	19375	-0.71
YDR115W	8357	15823	0.53	24084	-0.92
YDR119W	3971	4955	0.8	8830	-0.32
YDR123C	994	1660	0.59	2558	-0.75
YDR139C	7306	13106	0.56	20316	-0.84
YDR143C	875	1046	0.84	1825	-0.25
YDR147W	1479	3065	0.48	4449	-1.06
