ID	Cy5	Cy3	Ratio	Sum	LogRat
YCONTROL97	42	106	0.09	60	-3.46
YBR046C	1657	6080	0.27	7650	-1.9
YBR050C	132	298	0.39	343	-1.36
YBR054W	2272	5910	0.38	8094	-1.39
YBR070C	2200	3663	0.6	5776	-0.74
YBR074W	735	937	0.79	1584	-0.34
YBR078W	18003	29071	0.62	46986	-0.69
YBR092C	1553	728	2.25	2193	1.17
YBR096W	4437	9571	0.46	13920	-1.11
YBR100W	463	947	0.48	1323	-1.06
YBR116C	47	112	0.2	72	-2.32
YBR120C	2192	5031	0.43	7136	-1.21
YBR124W	46	120	0.16	79	-2.63
YCR054C	1190	1300	0.93	2403	-0.11
YCR061W	81	176	0.36	169	-1.46
YCR065W	1027	1241	0.83	2180	-0.26
YCR084C	1738	2349	0.74	3999	-0.43
YCR087W	44	65	0.54	20	-0.89
YCR091W	373	1166	0.3	1450	-1.73
YCR106W	409	834	0.48	1154	-1.07
YDL003W	1532	2075	0.74	3518	-0.44
YDL007W	5538	12425	0.44	17875	-1.17
YDL023C	111	241	0.4	264	-1.31
YDL027C	1733	4851	0.35	6496	-1.5
YDL031W	1671	1436	1.18	3019	0.24
YDR080W	930	1905	0.48	2747	-1.05
YDR084C	2470	4877	0.5	7258	-0.99
YDR088C	1123	1741	0.64	2776	-0.64
YDR102C	99	203	0.42	214	-1.26
YDR106W	116	250	0.41	279	-1.29
YDR110W	1158	1276	0.92	2346	-0.13
YDR126W	256	418	0.6	587	-0.73
YDR130C	851	1990	0.42	2753	-1.25
YDR134C	20603	42560	0.48	63074	-1.05
YDR150W	1162	1942	0.6	3013	-0.75
YDR154C	47229	39574	1.19	86712	0.26
YDR158W	14292	12739	1.12	26941	0.17
YDR446W	53	114	0.3	79	-1.76
YDR450W	42996	20625	2.09	63533	1.06
YDR454C	8756	12003	0.73	20670	-0.45
YDR470C	1014	1923	0.52	2848	-0.94
YDR474C	553	1266	0.43	1731	-1.23
YDR478W	978	1279	0.77	2168	-0.38
YDR494W	2919	6301	0.46	9132	-1.12
YDR498C	716	1266	0.56	1894	-0.84
YDR502C	5573	8763	0.64	14248	-0.65
YDR518W	1475	2642	0.56	4028	-0.85
YDR522C	50	105	0.26	67	-1.92
YDR525W-A	1709	4236	0.4	5857	-1.32
YER187W-A	4732	7553	0.63	12196	-0.68
YFL001W	1699	1385	1.25	2995	0.32
YFL003C	193	330	0.56	433	-0.83
YFL017C	3090	5205	0.59	8206	-0.76
YFL020C	867	2167	0.39	2946	-1.35
YFL024C	1052	1736	0.6	2700	-0.73
YFL039C	17576	35205	0.5	52692	-1
YFL043C	605	1612	0.37	2129	-1.45
YFL047W	1414	2449	0.58	3774	-0.8
YFL063W	478	1048	0.44	1437	-1.17
YFL067W	131	230	0.54	273	-0.88
YFR003C	2016	7000	0.29	8927	-1.81
YGL246C	2382	2249	1.07	4542	0.1
YGL250W	625	2060	0.29	2596	-1.77
YGL254W	912	2022	0.44	2845	-1.17
YGR007W	1674	4039	0.41	5625	-1.28
YGR011W	1489	3396	0.43	4795	-1.2
YGR015C	660	1258	0.52	1829	-0.95
YGR029W	3206	6628	0.48	9744	-1.05
YGR033C	2642	3866	0.68	6419	-0.55
YGR037C	11394	26535	0.43	37841	-1.22
YGR051C	157	474	0.29	543	-1.79
YGR055W	5483	3262	1.7	8657	0.76
YGR059W	146	365	0.35	422	-1.5
YHR006W	1237	3101	0.39	4249	-1.34
YHR010W	43732	17736	2.47	61379	1.31
YHR014W	520	515	1.05	946	0.07
YHR029C	3452	14320	0.24	17683	-2.06
YHR033W	307	330	0.98	548	-0.03
YHR037W	2475	7165	0.34	9551	-1.54
YHR051W	3793	11101	0.34	14805	-1.56
YHR055C	36047	27779	1.3	63736	0.38
YHR059W	1792	3029	0.59	4732	-0.76
YHR074W	1200	2909	0.41	4019	-1.3
YHR078W	1073	1898	0.56	2881	-0.83
YHR081W	4642	5375	0.87	9927	-0.21
YIL158W	2461	3672	0.67	6044	-0.58
YIL162W	1664	3500	0.47	5076	-1.08
YIL166C	366	1024	0.34	1302	-1.55
YIR005W	1362	2560	0.53	3834	-0.92
YIR009W	709	1427	0.49	2048	-1.03
YIR013C	113	177	0.62	201	-0.69
YIR028W	319	3911	0.07	4142	-3.76
YIR032C	815	24547	0.03	25273	-4.97
YIR036C	926	2862	0.32	3699	-1.66
YJL008C	3723	5850	0.64	9484	-0.65
YJL012C	7809	6023	1.3	13743	0.38
YJL016W	1376	2710	0.5	3998	-0.99
YJR096W	1234	4553	0.27	5697	-1.91
YJR100C	1525	3421	0.44	4857	-1.18
YJR104C	13210	33577	0.39	46697	-1.35
YJR120W	50	87	0.38	47	-1.39
YJR124C	1399	1065	1.35	2376	0.43
YJR128W	52	126	0.23	90	-2.1
YJR143C	5737	7979	0.72	13628	-0.48
YJR147W	823	679	1.26	1414	0.33
YJR151C	380	911	0.4	1203	-1.31
YKL005C	47	68	0.8	27	-0.32
YKL008C	37	57	0.25	5	-2
YKL012W	1566	3285	0.47	4762	-1.08
YKR087C	1282	2263	0.56	3456	-0.83
YKR091W	396	2134	0.17	2441	-2.53
YKR095W	2023	3290	0.61	5224	-0.7
YLL005C	70	151	0.35	132	-1.53
YLL009C	6389	13523	0.47	19822	-1.08
YLL013C	612	1142	0.53	1664	-0.92
