Display_Name	Portion_Default	Portion_Display_Name	Calories	Saturated_Fats
Grilled pork chop (eat lean & fat)	2	small or thin cut	117.6	2.5382
Grilled pork chop (eat lean & fat)	2	ounces after cooking	272.16	5.87412
Grilled pork chop (eat lean only)	1	medium	174.72	3.0324
Grilled pork chop (eat lean only)	2	large	268.32	4.6569
Grilled pork chop (eat lean only)	2	small or thin cut	95.68	1.6606
Grilled pork chop (eat lean only)	2	ounces after cooking	235.872	4.09374
Fried pork chop (eat lean & fat)	1	medium	225.99	5.508
Fried pork chop (eat lean & fat)	2	large	326.43	7.956
Fried pork chop (eat lean & fat)	2	small or thin cut	122.76	2.992
Fried pork chop (eat lean & fat)	2	ounces after cooking	316.386	7.7112
Tea (unsweetened)	1	teacup (cup = 6 fl oz)	1.78	0.00356
Tea (unsweetened)	2	mug (mug = 8 fl oz)	2.37	0.00474
Tea (unsweetened)	2	fluid ounces	3.56	0.00474
Soft drink, diet	2	small (drink = 16 fl oz)	4.73	0
Soft drink, diet	2	medium (drink = 22 fl oz)	6.5	0
Soft drink, diet	2	large (drink = 32 fl oz)	9.46	0
Soft drink, diet	2	extra large (drink = 44 fl oz)	13.01	0
Fruit drink (punch, ade, or cooler)	1	cup	119.04	0
Fruit drink (punch, ade, or cooler)	2	Capri Sun container	100.32	0
Fruit drink (punch, ade, or cooler)	2	drink box (box - 8 fl oz)	125.76	0
Fruit drink (punch, ade, or cooler)	2	fun size (box = 4 fl oz)	62.88	0
Fruit drink (punch, ade, or cooler)	2	Fruitopia bottle 	238.08	0
Lemonade	1	cup	99.2	0.01736
Lemonade	2	Snapple bottle	198.4	0.03472
Crystal Lite (low-calorie fruit drink)	1	cup	45.6	0
Cranberry juice cocktail	1	cup	144.21	0.0253
Gatorade or Powerade (sports drink)	1	cup	60	0
Pedialyte	1	cup	25	0
Beer or ale	1	can	147.6	0
Beer or ale	2	small pitcher	196.8	0
Lite beer	1	can	100.8	0
Lite beer	2	small pitcher 	134.4	0
Cordial or liqueur	1	cordial glass 	70.8	0.012
Cordial or liqueur	2	fluid ounce	106.2	0.018
Bloody Mary	1	cocktail	114.54	0.0138
Bloody Mary	2	fluid ounces (no ice)	199.2	0.024
Gin & tonic	1	cocktail	159.6	0.0042
Gin & tonic	2	fluid ounces (no ice)	182.4	0.0048
Manhattan	1	cocktail	138.243	0
Manhattan	2	fluid ounces (no ice)	263.32	0
Margarita	1	cocktail (incl. frozen)	425.754	0.03906
Margarita	2	fluid ounces (no ice)	270.32	0.0248
Martini	1	cocktail	129.92	0
Martini	2	fluid ounces (no ice)	259.84	0
Rum & coke	1	cocktail	273.6	0.0144
Rum & coke	2	fluid ounces (no ice)	182.4	0.0096
Pina colada	1	cocktail	417.6	3.96
Pina colada	2	fluid ounces (no ice)	417.6	3.96
Liqueur with cream	1	fluid ounces	203.394	6.00852
Table wine (all)	1	standard wine glass	113.575	0
Table wine (all)	2	carafe	189.42	0
Table wine (all)	2	bottle 	284.9	0
Table wine (all)	2	small wine glass	79.31	0
Dessert wine (all)	1	small wine glass 	164.8	0
Dessert wine (all)	2	fluid ounces 	188.8	0
Wine cooler	1	drink (drink = 7 fl oz)	111.3	0.0063
Wine cooler	2	fluid ounces (no ice)	127.2	0.0072
Sangria	1	drink (drink = 8 fl oz)	164.16	0.0114
Sangria	2	fluid ounces (no ice)	167.04	0.0116
Brandy or cognac	1	fluid ounces	128.436	0
Whiskey (bourbon, scotch, rye)	1	jigger (jigger = 1.5 oz)	105	0
Whiskey (bourbon, scotch, rye)	2	fluid ounces 	140	0
Gin	1	jigger (jigger = 1.5 oz)	110.46	0
Gin	2	fluid ounces 	147.28	0
Rum	1	jigger (jigger = 1.5 oz)	97.02	0
Rum	2	fluid ounces	128.436	0
Vodka or tequila	1	jigger (jigger = 1.5 oz)	97.02	0
Vodka or tequila	2	fluid ounces 	128.436	0
Water	1	cup	0	0
Water	2	fluid ounces 	0	0
Fitness Water (Propel)	1	cup (8 fl oz)	11.85	0
Fitness Water (Propel)	2	bottle (16.9 fl oz)	25	0
Fitness Water (Propel)	2	sports bottle (23.7 fl oz)	35.1	0
Plain yogurt, whole milk	2	ounce	17.30875	0.59588
Plain yogurt, fat free	2	ounce	15.89	0.03405
Flavored yogurt, whole milk	2	ounce	28.65875	0.5675
Flavored yogurt, low fat	2	ounce	24.11875	0.22984
Flavored yogurt, fat-free sugar-free	2	ounce	12.20125	0.03405
Fruit yogurt, whole milk	2	ounce	33.71667	0.578
Fruit yogurt, low fat	2	ounce	28.9	0.19833
Fruit yogurt, fat-free sugar-free	2	ounce	14.45	0.0255
Mixed nuts	2	ounce	175	2.49636
Sesame seeds	2	Tablespoon	53	0.63
Flax seed	2	Tablespoon	45	0.29
Wheat cracker	2	Wheatsworth crackers	56	0.62
Wheat cracker	2	Whole Wheat Club Crackers	68	0.724
Wheat cracker	2	cup	53.25	0.583
Bulgur, no fat added	1	cup, cooked	56	0.028
Couscous, no fat added	1	cup, cooked	87	0.023
Raisins	2	Tablespoon	27	0.00544
Romaine lettuce	2	medium leaf	2	0.007
Vegetable oil (canola, corn, olive, etc)	2	Teaspoon	40	0.56893
Coffee Mate Lite  (powder)	1	packet	12.93	0.114
Cool Whip	1	cup	59.625	4.08375
Lowfat Cool Whip	1	cup	41.25	2.11313
Sour cream	1	Tablespoons	61.525	3.75188
Mozzarella cheese (part skim)	2	cup shredded	85.315	3.57928
Mozzarella cheese (part skim)	2	cubic inch	53.152	2.22992
Mozzarella cheese (part skim)	2	string cheese stick	84.56	3.5476
Parmesan or Romano cheese	1	tablespoon	21.55	0.865
Low fat cheddar or Swiss	1	slice (slice = 1 oz)	50	0.925
Jello	2	cup	74.4	0
Jello with fruit	1	cup	78	0.024
Sugar-free Jello (diet)	1	snack-size package (3.5 oz)	3.96	0
Sugar-free Jello (diet)	2	cup	4.8	0
Sugar-free Jello with fruit (diet)	1	cup	39.6	0.036
Fruit ice (Italian fruit ice)	1	cup	123.52	0
Milk chocolate bar or candy (plain)	2	Big Block bar (2.2 oz)	331.7	8.835
Milk chocolate bar or candy (plain)	2	solid egg	29.425	0.78375
Milk chocolate bar or candy (plain)	2	miniature bar (.5 oz)	74.9	1.995
Milk chocolate bar or candy (plain)	2	hollow piece (4.6 oz)	706.2	18.81
Krackel or Crunch Bar	1	bar (1.2 oz)	168.64	5.4026
Krackel or Crunch Bar	2	Big Block bar (2.2 oz)	307.52	9.8518
Krackel or Crunch Bar	2	solid egg	34.72	1.1123
Krackel or Crunch Bar	2	miniature bar (.5 oz)	69.44	2.2246
Milk chocolate fruit & nut bar	1	bar (1.2 oz)	150.48	4.0557
Milk chocolate fruit & nut bar	2	large (6 oz) bar	193.8	5.22325
Milk chocolate fruit & nut bar	2	piece	50.16	1.3519
Milk chocolate bar with almonds	1	bar (1.45 oz)	215.66	6.9618
Milk chocolate bar with almonds	2	Big Block bar (2.2 oz)	326.12	10.5276
Milk chocolate bar with almonds	2	miniature bar (.5 oz)	73.64	2.3772
Chocolate chips	1	cup	201.18	7.455
Chocolate chips	2	morsels	47.9	1.775
Dark chocolate candy bar	1	bar (1.45 oz)	207.05	8.2328
Dark chocolate candy bar	2	large bar (4 oz)	142.6625	5.6726
Dark chocolate candy bar	2	bar (2.2 oz)	313.1	12.4496
Coconut candy, chocolate-covered	1	bar (1.75 oz)	243	10.29
Coconut candy, chocolate-covered	2	fun size bar	97.2	4.116
Coconut candy, chocolate-covered	2	small egg (1 oz)	136.08	5.7624
Chocolate-covered candy	1	butter cream	73.2	1.092
Chocolate-covered candy	2	cherry	51.24	0.7644
Chocolate-covered candy	2	Cadbury egg (1 oz)	106.14	1.5834
Chocolate-covered candy	2	large York pattie	153.72	2.2932
Chocolate-covered candy	2	piece (0.6 oz)	62.22	0.9282
Chocolate-covered candy	2	small York pattie	51.972	0.77532
Fruit roll-up (fruit snack chews)	1	pouch (1 oz)	103.88	0.182
Fruit roll-up (fruit snack chews)	2	3-foot roll	77.91	0.1365
Snickers candy bar	1	bar (2 oz)	273.03	5.1243
Snickers candy bar	2	king size bar (4 oz)	541.27	10.1587
Snickers candy bar	2	miniature bar (.3 oz)	43.11	0.8091
Butterfinger candy bar	1	bar (2.2 oz)	290.36	6.2464
Butterfinger candy bar	2	cup Butterfinger BB's	207.06	4.4544
Butterfinger candy bar	2	king size bar (4 oz)	514.08	11.0592
Butterfinger candy bar	2	fun size bar (0.6 oz)	99.96	2.1504
Marshmallows	1	regular	22.896	0.00432
Marshmallows	2	cup of miniatures	36.57	0.0069
Marshmallows	2	Peep chicken or bunny	25.44	0.0048
